109.9745 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
110.5834 	DATA 	Keypress: equal
110.9851 	EXP 	no response
111.0180 	DATA 	Keypress: 1
111.5832 	DATA 	Keypress: equal
112.5830 	DATA 	Keypress: equal
113.5830 	DATA 	Keypress: equal
114.5830 	DATA 	Keypress: equal
114.9954 	EXP 	stim presentation for duration 2.000. feedback duration 2.000
115.5832 	DATA 	Keypress: equal
115.6156 	DATA 	Keypress: 1
115.6207 	EXP 	stim select
116.5832 	DATA 	Keypress: equal
116.9962 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=2
117.0038 	EXP 	feedback
117.5830 	DATA 	Keypress: equal
118.5830 	DATA 	Keypress: equal
119.0149 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
119.5833 	DATA 	Keypress: equal
119.8449 	DATA 	Keypress: 1
119.8562 	EXP 	stim select
120.5830 	DATA 	Keypress: equal
121.5832 	DATA 	Keypress: equal
122.0151 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=3
122.0233 	EXP 	feedback
122.5831 	DATA 	Keypress: equal
123.5830 	DATA 	Keypress: equal
124.0357 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
124.5832 	DATA 	Keypress: equal
124.8767 	DATA 	Keypress: 2
124.8858 	EXP 	stim select
125.5821 	DATA 	Keypress: equal
126.0359 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=4
126.0541 	EXP 	feedback
126.5821 	DATA 	Keypress: equal
127.5822 	DATA 	Keypress: equal
128.5820 	DATA 	Keypress: equal
129.5821 	DATA 	Keypress: equal
130.0602 	EXP 	stim presentation for duration 2.000. feedback duration 2.000
130.5760 	DATA 	Keypress: 1
130.5914 	EXP 	stim select
130.5950 	DATA 	Keypress: equal
131.5825 	DATA 	Keypress: equal
132.0603 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=5
132.0603 	EXP 	Hampton2006: Reversal
132.0758 	EXP 	feedback
132.5822 	DATA 	Keypress: equal
133.5821 	DATA 	Keypress: equal
134.0933 	EXP 	stim presentation for duration 3.000. feedback duration 4.000
134.5823 	DATA 	Keypress: equal
134.6941 	DATA 	Keypress: 1
134.7112 	EXP 	stim select
135.5821 	DATA 	Keypress: equal
136.5822 	DATA 	Keypress: equal
137.0934 	EXP 	Hampton2006: Action=0 State=1 Rewarded=False CorrectCount=0
137.1133 	EXP 	feedback
137.5822 	DATA 	Keypress: equal
138.5822 	DATA 	Keypress: equal
139.5824 	DATA 	Keypress: equal
140.5821 	DATA 	Keypress: equal
141.1325 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
141.5822 	DATA 	Keypress: equal
142.4280 	DATA 	Keypress: 1
142.4330 	EXP 	stim select
142.5821 	DATA 	Keypress: equal
143.5821 	DATA 	Keypress: equal
144.1327 	EXP 	Hampton2006: Action=0 State=1 Rewarded=False CorrectCount=0
144.1509 	EXP 	feedback
144.5823 	DATA 	Keypress: equal
145.5822 	DATA 	Keypress: equal
146.5821 	DATA 	Keypress: equal
147.1691 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
147.5821 	DATA 	Keypress: equal
147.7052 	DATA 	Keypress: 1
147.7195 	EXP 	stim select
148.5825 	DATA 	Keypress: equal
149.1697 	EXP 	Hampton2006: Action=0 State=1 Rewarded=False CorrectCount=0
149.1861 	EXP 	feedback
149.5823 	DATA 	Keypress: equal
150.5822 	DATA 	Keypress: equal
151.5811 	DATA 	Keypress: equal
152.1912 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
152.5810 	DATA 	Keypress: equal
152.7601 	DATA 	Keypress: 1
152.7715 	EXP 	stim select
153.5811 	DATA 	Keypress: equal
154.1912 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=1
154.2055 	EXP 	feedback
154.5814 	DATA 	Keypress: equal
155.5817 	DATA 	Keypress: equal
156.5812 	DATA 	Keypress: equal
157.2116 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
157.5814 	DATA 	Keypress: equal
157.7600 	DATA 	Keypress: 1
157.7743 	EXP 	stim select
158.5812 	DATA 	Keypress: equal
159.5815 	DATA 	Keypress: equal
160.2120 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=2
160.2253 	EXP 	feedback
160.5818 	DATA 	Keypress: equal
161.5810 	DATA 	Keypress: equal
162.2313 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
162.5816 	DATA 	Keypress: equal
162.8730 	DATA 	Keypress: 1
162.8834 	EXP 	stim select
163.5811 	DATA 	Keypress: equal
164.2315 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=3
164.2440 	EXP 	feedback
164.5812 	DATA 	Keypress: equal
165.5813 	DATA 	Keypress: equal
166.5814 	DATA 	Keypress: equal
167.2524 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
167.5813 	DATA 	Keypress: equal
168.0113 	DATA 	Keypress: 2
168.0212 	EXP 	stim select
168.5812 	DATA 	Keypress: equal
169.2528 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=4
169.2528 	EXP 	Hampton2006: Reversal
169.2617 	EXP 	feedback
169.5815 	DATA 	Keypress: equal
170.5810 	DATA 	Keypress: equal
171.5811 	DATA 	Keypress: equal
172.2740 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
172.5811 	DATA 	Keypress: equal
173.2806 	EXP 	no response
173.3543 	DATA 	Keypress: 1
173.5811 	DATA 	Keypress: equal
174.5812 	DATA 	Keypress: equal
175.2930 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
175.5810 	DATA 	Keypress: equal
176.2993 	EXP 	no response
176.3950 	DATA 	Keypress: 1
176.5810 	DATA 	Keypress: equal
177.5800 	DATA 	Keypress: equal
178.5803 	DATA 	Keypress: equal
179.5804 	DATA 	Keypress: equal
180.3138 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
180.5804 	DATA 	Keypress: equal
180.7991 	DATA 	Keypress: 1
180.8144 	EXP 	stim select
181.3145 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=0
181.3307 	EXP 	feedback
181.5801 	DATA 	Keypress: equal
182.5802 	DATA 	Keypress: equal
183.5803 	DATA 	Keypress: equal
184.3355 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
184.5805 	DATA 	Keypress: equal
185.5802 	DATA 	Keypress: equal
185.6596 	DATA 	Keypress: 1
185.6672 	EXP 	stim select
186.5802 	DATA 	Keypress: equal
187.3357 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
187.3525 	EXP 	feedback
187.5802 	DATA 	Keypress: equal
188.5800 	DATA 	Keypress: equal
189.5802 	DATA 	Keypress: equal
190.3718 	EXP 	stim presentation for duration 2.000. feedback duration 2.000
190.5802 	DATA 	Keypress: equal
190.9960 	DATA 	Keypress: 2
191.0047 	EXP 	stim select
191.5801 	DATA 	Keypress: equal
192.3725 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=1
192.3890 	EXP 	feedback
192.5811 	DATA 	Keypress: equal
193.5801 	DATA 	Keypress: equal
194.4083 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
194.5799 	DATA 	Keypress: equal
195.5799 	DATA 	Keypress: equal
195.7930 	DATA 	Keypress: 2
195.8086 	EXP 	stim select
196.5801 	DATA 	Keypress: equal
197.4084 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=1
197.4253 	EXP 	feedback
197.5802 	DATA 	Keypress: equal
198.5800 	DATA 	Keypress: equal
199.5801 	DATA 	Keypress: equal
200.4447 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
200.5799 	DATA 	Keypress: equal
201.2312 	DATA 	Keypress: 1
201.2443 	EXP 	stim select
201.5801 	DATA 	Keypress: equal
