csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
6427.148652994133	5838.841324886093	7031.675132587212	n/a	n/a	n/a	-0.0494333599	0.0021862147	-0.026633270299999998	0.0104287916	-0.025171125699999998	-0.011395510400000001	-0.078843144	-0.0308349162	0.0214818997	0.05149547980000001	-0.0758189111	0.036235793100000004	0.0715192768	0.07151754540000001	0.0715146598	0.0715106199	0.0715054259	2.04369e-05	-0.0208657	0.0290651	-0.000160272	-0.000468758	-0.000544662
6346.116742712297	5843.046183590872	7007.735469858216	1.211961	26.281094	0.1416282115	0.0707826896	-0.0046594145	0.026407119700000002	0.0236078182	-0.10859903039999999	-0.013227250800000001	0.0786985534	-0.029905696699999998	-0.0169694269	-0.030016243999999997	-0.10512601390000001	0.0530705004	0.0715146598	0.0714990779	0.0714731106	0.0714367616	0.0713900363	-2.01246e-05	-0.069762	0.0849767	0.000172787	-0.000188003	-0.000422881
6319.077185165883	5841.2789491759495	6987.424430336291	1.23104	26.694815	0.05631494739999999	-0.0328822296	-0.0324257195	-0.0611867538	0.052467998200000004	-0.0436323715	0.056338301699999996	-0.048610774100000004	-0.0558836403	-0.0277789706	0.0905362665	-0.047294143200000006	0.0304311285	0.0715054259	0.0714621475	0.0713900363	0.0712891213	0.0711594432	-1.23272e-05	-0.0853147	0.0977006	0.00056763	-0.00023199	-0.000544662
6282.170130939215	5834.898150701383	6993.298638576392	1.355568	29.39517	0.3422122972	0.0682481367	0.024753260699999998	0.0322429937	0.0718011425	0.0025905907	-0.0684550618	0.023983078799999998	0.0672708581	0.0033215196999999996	-0.0184984397	0.0134021248	0.0995204008	0.07149157589999999	0.0714067639	0.07126548519999999	0.07106785139999999	0.0708140188	0.00909827	0.133099	0.0451696	-6.8344e-05	0.000153544	-0.00032303
6284.759688918898	5841.9630044489895	6995.094391625792	1.321769	28.662258	0.2219835	-0.0669644078	-0.061688793	0.0622112872	-0.0219845142	-0.042329805	0.0096301458	-0.038122564399999996	-0.1039393002	-0.0302637998	-0.0678858317	-0.0108456881	0.0334787746	0.0714731106	0.0713329414	0.0710995296	0.0707731805	0.0703543205	0.00847202	-0.0343316	0.08849469999999998	0.00010667900000000003	0.000132832	-0.000339326
6295.13674230141	5836.382966888767	6991.638053773695	1.195862	25.931995	0.04585747	-0.014215168	0.0653795623	0.0273608612	0.0228992119	0.0215968007	0.0970320573	0.0235397052	-0.0013074126	0.0342021281	0.080640596	0.0325884117	-0.0268945528	0.0714500311	0.0712406989	0.0708922661	0.0704054129	0.0697810901	0.0077046	-0.0640634	0.0825631	0.000253821	0.000106702	-0.000324065
6275.816280204095	5831.443318157059	6988.014058467809	1.278751	27.72942	0.28445262	-0.0336231656	-0.058977237599999996	0.012892135400000001	0.0060090472	0.0701900951	0.0262081722	-0.0562094645	0.0358088719	-0.0508138456	-0.031493243500000004	0.07151744980000001	0.013317971999999999	0.0714223391	0.0711300604	0.0706438149	0.0699649286	0.0690952527	0.00673236	0.122653	0.0284394	-0.000264734	1.9224e-05	-7.72924e-05
6269.515680439666	5840.0346125805345	6991.486842136589	1.314524	28.505152	0.26690032	-0.051504054900000006	0.0767357671	0.0421067625	-0.06003556349999999	-0.0207351939	0.0288077639	0.0364494423	-0.052994310700000005	0.08470222599999999	-0.0695180084	0.0382814855	-0.0419721887	0.0713900363	0.0710010544	0.0703543205	0.0694521823	0.0682979149	0.0139796	-0.0600653	0.0815634	0.000108767	1.9224e-05	-0.000180007
6275.499528740528	5832.368324242693	6987.2467524707035	1.135873	24.631132	0.054090749999999986	0.0222407974	-0.031491060099999996	0.024106910899999997	-0.0285878059	0.0254579908	0.1058100065	0.029850826299999998	-0.009394516700000001	-0.0624643084	0.0505440741	0.080916531	-0.05805540309999999	0.07135312469999999	0.0708537142	0.070023951	0.0688677038	0.0673903636	0.0158713	-0.0962725	0.0815392	0.000317695	1.9224e-05	-0.000290432
6283.559246777988	5835.2873789371115	6999.947215393087	1.19847	25.98855	0.26830026500000004	-0.0541482458	0.0656934908	0.0274964146	0.0185338941	0.0898673924	0.0210308922	-0.0281600451	0.032617774599999996	0.0652988338	0.0098929455	0.0657342638	0.0163782655	0.0713116068	0.07068807790000001	0.0696528984	0.06821209660000001	0.06637406309999999	0.00965106	0.0841593	0.0277043	-5.32325e-05	1.9224e-05	-0.000105093
